,ItemID,ItemName,CurrentValue,LastUpdated,LowValue,LowSeenDate,HighValue,HighSeenDate,Override,Taxed,Bottleneck,Mat1Qty,Mat1,Mat2Qty,Mat2,Mat3Qty,Mat3,Mat4Qty,Mat4,Mat5Qty,Mat5,Mat6Qty,Mat6,ProductionMultiplier,CritChance,CritProduct,Experience,ProductionTime,Source,MatGroup,Tag,Description
367,4909,Grade 2 Armor Reform Stone,206994,2018/05/13,206994,,206994,,,Yes,No,3,Bronze Ingot,2,Green Crystal,2,Spirit's Leaf,2,Legendary Beast's Blood,20,Black Stone Powder,,,1,,,,,Workshop,,,
368,4910,Grade 3 Weapon Reform Stone,310500,2018/05/13,310500,,310500,,,Yes,No,5,Steel,3,Melted Platinum Shard,3,Black Crystal,2,Red Tree Lump,2,Clown's Blood,40,Black Stone Powder,1,,,,,Workshop,,,
369,4911,Grade 3 Armor Reform Stone,310500,2018/05/13,310500,,310500,,,Yes,No,4,Steel,3,Melted Platinum Shard,3,Black Crystal,2,Old Tree Bark,2,Tyrant's Blood,40,Black Stone Powder,1,,,,,Workshop,,,
370,4912,Ultimate Weapon Reform Stone,7590000,2018/05/13,7590000,,7590000,,,Yes,No,10,Grade 3 Weapon Reform Stone,1,Sharp Black Crystal Shard,,,,,,,,,1,,,,9,Processing - Heating,,,
371,4913,Ultimate Armor Reform Stone,5099998,2018/05/13,5099998,,5099998,,,Yes,No,10,Grade 3 Armor Reform Stone,1,Hard Black Crystal Shard,,,,,,,,,1,,,,9,Processing - Heating,,,
372,4914,Aal's Tear,21000,2018/05/13,21000,,21000,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
373,4915,Manos,5000000,2018/05/13,5000000,,5000000,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
374,4916,Blue Reagent,50000,2018/05/13,50000,,50000,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
375,4917,Forest Fury,3600000,2018/05/13,3600000,,3600000,,,Yes,No,,,,,,,,,,,,,,,,,,Drop,,,
376,4918,Magical Shard,,,,,,,,No,No,,,,,,,,,,,,,1,,,,9,Processing - Heating,,,
377,4919,Piece of Image,,,,,,,,No,No,100,Trace of Memory,100,Trace of Forest,100,Trace of Death,100,Weeds,1,Merindora's Element,,,100,,,,6,Processing - Simple Alchemy,,,
378,4921,Design: Epheria Frigate,1000000,,1000000,,1000000,,,No,No,,,,,,,,,,,,,,,,,,Quest,,,
379,4922,Old Moon Anticorrosive,100000,,100000,,100000,,,No,No,,,,,,,,,,,,,,,,,,Vendor,,,
380,4923,Merindora's Element,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Quest,,,
381,4925,Tears of the Falling Moon,100000,,100000,,100000,,,No,No,,,,,,,,,,,,,,,,,,Vendor,,,
382,4997,Hard Black Crystal Shard,1600000,2018/05/13,1600000,,1600000,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
383,4998,Sharp Black Crystal Shard,3600000,2018/05/13,3600000,,3600000,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
384,5001,Ash Sap,2100,2018/05/13,2100,,2100,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
385,5002,Maple Sap,1394,2018/05/13,1394,,1394,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
386,5003,Pine Sap,3000,2018/05/13,3000,,3000,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
387,5004,Birch Sap,851,2018/05/13,851,,851,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
388,5005,Bloody Tree Knot,3856,2018/05/13,3856,,3856,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
389,5006,Spirit's Leaf,2249,2018/05/13,2249,,2249,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
390,5007,Monk's Branch,2249,2018/05/13,2249,,2249,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
391,5008,Old Tree Bark,2249,2018/05/13,2249,,2249,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
392,5009,Fir Sap,2011,2018/05/13,2011,,2011,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
393,5010,Cedar Sap,1229,2018/05/13,1229,,1229,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
394,5011,Red Tree Lump,2699,2018/05/13,2699,,2699,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
395,5012,White Cedar Sap,662,2018/05/13,662,,662,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
396,5013,Acacia Sap,662,2018/05/13,662,,662,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
397,5014,Elder Tree Sap ,1030,2018/05/13,1030,,1030,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
398,5015,Palm Sap ,1407,2018/05/13,1407,,1407,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
399,5016,Cactus Sap,694,2018/05/13,694,,694,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
400,5017,Moss Tree Sap,2016,2018/05/13,2016,,2016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
401,5018,Loopy Tree Sap,982,2018/05/13,982,,982,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
402,5019,Dead Tree Essence,49500,2018/05/13,49500,,49500,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
403,5201,Fruit of Crimson Flame,38016,2018/05/13,38016,,38016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
404,5202,Essence of Crimson Flame,78733,2018/05/13,78733,,78733,,,Yes,No,2,Fruit of Crimson Flame,3,Dwarf Mushroom,4,Ash Sap,2,Trace of Ascension,,,,,2,,,,Alchemy,Alchemy,,,
405,5203,Fruit of Abundance,34560,2018/05/13,34560,,34560,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
406,5204,Essence of Abundance,44880,2018/05/13,44880,,44880,,,Yes,No,2,Fruit of Abundance,2,Cloud Mushroom,4,Birch Sap,2,Trace of Ascension,,,,,2,,,,Alchemy,Alchemy,,,
407,5205,Fruit of Nature,38016,2018/05/13,38016,,38016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
408,5206,Essence of Nature,51716,2018/05/13,51716,,51716,,,Yes,No,2,Fruit of Nature,3,Fortune Teller Mushroom,4,Maple Sap,2,Trace of the Earth,,,,,2,,,,Alchemy,Alchemy,,,
409,5207,Fruit of the Sun,34560,2018/05/13,34560,,34560,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
410,5208,Essence of the Sun,45408,2018/05/13,45408,,45408,,,Yes,No,2,Fruit of the Sun,3,Arrow Mushroom,4,Pine Sap,2,Trace of the Earth,,,,,2,,,,Alchemy,Alchemy,,,
411,5209,Fruit of Enchantment,38016,2018/05/13,38016,,38016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
412,5210,Essence of Enchantment,39195,2018/05/13,39195,,39195,,,Yes,No,2,Fruit of Enchantment,3,Fire Flake Flower,4,Ash Sap,2,Powder of Darkness,,,,,2,,,,Alchemy,Alchemy,,,
413,5211,Fruit of Magic Power,34560,2018/05/13,34560,,34560,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
414,5212,Essence of Magic Power,62832,2018/05/13,62832,,62832,,,Yes,No,2,Fruit of Magic Power,3,Dry Mane Grass,4,Birch Sap,2,Powder of Darkness,,,,,2,,,,Alchemy,Alchemy,,,
415,5213,Fruit of Perfection,38016,2018/05/13,38016,,38016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
416,5214,Essence of Perfection,52318,2018/05/13,52318,,52318,,,Yes,No,2,Fruit of Perfection,3,Sunrise Herb,4,Maple Sap,2,Powder of Flame,,,,,2,,,,Alchemy,Alchemy,,,
417,5215,Fruit of Destruction,38016,2018/05/13,38016,,38016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
418,5216,Essence of Destruction,52201,2018/05/13,52201,,52201,,,Yes,No,2,Fruit of Destruction,3,Silver Azalea,4,Pine Sap,2,Powder of Flame,,,,,2,,,,Alchemy,Alchemy,,,
419,5217,Deep Sea Fruit,38016,2018/05/13,38016,,38016,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
420,5301,Clear Liquid Reagent,2691,2018/05/13,2691,,2691,,,Yes,No,1,Weeds,1,Sunrise Herb,1,Salt,1,Purified Water,,,,,2.5,,,,Alchemy,Alchemy,,,
421,5302,Pure Powder Reagent,2691,2018/05/13,2691,,2691,,,Yes,No,1,Weeds,1,Silver Azalea,1,Sugar,1,Purified Water,,,,,2.5,,,,Alchemy,Alchemy,,,
422,5401,Sunrise Herb,284,2018/05/13,284,,284,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
423,5402,Silver Azalea,265,2018/05/13,265,,265,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
424,5403,Fire Flake Flower,280,2018/05/13,280,,280,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
425,5404,Dry Mane Grass,431,2018/05/13,431,,431,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
426,5405,Silk Honey Grass,231,2018/05/13,231,,231,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
427,5406,Everlasting Herb,13090,2018/05/13,13090,,13090,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
428,5407,Fortune Teller Mushroom,446,2018/05/13,446,,446,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
429,5408,Arrow Mushroom,724,2018/05/13,724,,724,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
430,5409,Dwarf Mushroom,463,2018/05/13,463,,463,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
431,5410,Cloud Mushroom,450,2018/05/13,450,,450,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
432,5411,Sky Mushroom,469,2018/05/13,469,,469,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
433,5412,Tiger Mushroom,448,2018/05/13,448,,448,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
434,5413,Emperor Mushroom,443,2018/05/13,443,,443,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
435,5414,Ghost Mushroom,378,2018/05/13,378,,378,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
436,5415,Fog Mushroom,801,2018/05/13,801,,801,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
437,5416,Hump Mushroom,830,2018/05/13,830,,830,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
438,5417,Bluffer Mushroom,770,2018/05/13,770,,770,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
439,5418,Ancient Mushroom,830,2018/05/13,830,,830,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
440,5419,Amanita Mushroom,565,2018/05/13,565,,565,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
441,5420,Truffle Mushroom,791,2018/05/13,791,,791,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
442,5439,Wild Grass,1701,2018/05/13,1701,,1701,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
443,5444,High-Quality Sunrise Herb,2079,2018/05/13,2079,,2079,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
444,5445,High-Quality Silver Azalea,2388,2018/05/13,2388,,2388,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
445,5446,High-Quality Fire Flake Flower,2284,2018/05/13,2284,,2284,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
446,5447,High-Quality Dry Mane Grass,2181,2018/05/13,2181,,2181,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
447,5448,High-Quality Silk Honey Grass,1581,2018/05/13,1581,,1581,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
448,5450,High-Quality Fortune Teller Mushroom,2394,2018/05/13,2394,,2394,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
449,5451,High-Quality Arrow Mushroom,4149,2018/05/13,4149,,4149,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
450,5452,High-Quality Dwarf Mushroom,3467,2018/05/13,3467,,3467,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
451,5453,High-Quality Cloud Mushroom,3449,2018/05/13,3449,,3449,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
452,5454,High-Quality Sky Mushroom,3949,2018/05/13,3949,,3949,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
453,5455,High-Quality Tiger Mushroom,2939,2018/05/13,2939,,2939,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
454,5456,High-Quality Emperor Mushroom,2982,2018/05/13,2982,,2982,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
455,5457,High-Quality Ghost Mushroom,2841,2018/05/13,2841,,2841,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
456,5458,High-Quality Fog Mushroom,3949,2018/05/13,3949,,3949,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
457,5459,High-Quality Hump Mushroom,4158,2018/05/13,4158,,4158,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
458,5460,High-Quality Bluffer Mushroom,3844,2018/05/13,3844,,3844,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
459,5461,High-Quality Ancient Mushroom,4158,2018/05/13,4158,,4158,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
460,5462,High-Quality Amanita Mushroom,3050,2018/05/13,3050,,3050,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
461,5464,Special Sunrise Herb,7067,2018/05/13,7067,,7067,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
462,5465,Special Silver Azalea,5380,2018/05/13,5380,,5380,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
463,5466,Special Fire Flake Flower,7773,2018/05/13,7773,,7773,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
464,5467,Special Dry Mane Grass,6480,2018/05/13,6480,,6480,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
465,5468,Special Silk Honey Grass,5722,2018/05/13,5722,,5722,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
466,5470,Special Fortune Teller Mushroom,8494,2018/05/13,8494,,8494,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
467,5471,Special Arrow Mushroom,9894,2018/05/13,9894,,9894,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
468,5472,Special Dwarf Mushroom,8127,2018/05/13,8127,,8127,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
469,5473,Special Cloud Mushroom,7414,2018/05/13,7414,,7414,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
470,5474,Special Sky Mushroom,9398,2018/05/13,9398,,9398,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
471,5475,Special Tiger Mushroom,8417,2018/05/13,8417,,8417,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
472,5476,Special Emperor Mushroom,6397,2018/05/13,6397,,6397,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
473,5477,Special Ghost Mushroom,7088,2018/05/13,7088,,7088,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
474,5478,Special Fog Mushroom,9397,2018/05/13,9397,,9397,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
475,5479,Special Hump Mushroom,7487,2018/05/13,7487,,7487,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
476,5480,Special Bluffer Mushroom,9095,2018/05/13,9095,,9095,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
477,5481,Special Ancient Mushroom,8464,2018/05/13,8464,,8464,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
478,5482,Special Amanita Mushroom,8904,2018/05/13,8904,,8904,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
479,5484,Nolina,255,2018/05/13,255,,255,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
480,5485,Penestraria,236,2018/05/13,236,,236,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
481,5486,Dalvenia Alrea,300,2018/05/13,300,,300,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
482,5487,Toxic Watermelon,709,2018/05/13,709,,709,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
483,5488,Glossy Bone Piece,8662,2018/05/13,8662,,8662,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
484,5489,Bouquet Mushroom,473,2018/05/13,473,,473,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
485,5490,Leccinum,496,2018/05/13,496,,496,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
486,5491,Purple Mushroom,519,2018/05/13,519,,519,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
487,5492,Pie Mushroom,508,2018/05/13,508,,508,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
488,5493,Eyelash Cup,542,2018/05/13,542,,542,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
489,5494,Star Anise Mushroom,543,2018/05/13,543,,543,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
490,5495,Desert Herb,1575,2018/05/13,1575,,1575,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
491,5496,High-Quality Nolina,1943,2018/05/13,1943,,1943,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
492,5497,High-Quality Penestraria,1969,2018/05/13,1969,,1969,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
493,5498,High-Quality Dalvenia Alrea,2113,2018/05/13,2113,,2113,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
494,5499,High-Quality Bouquet Mushroom,2602,2018/05/13,2602,,2602,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
495,5500,High-Quality Leccinum,2257,2018/05/13,2257,,2257,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
496,5501,High-Quality Purple Mushroom,2598,2018/05/13,2598,,2598,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
497,5502,High-Quality Pie Mushroom,2541,2018/05/13,2541,,2541,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
498,5503,Special Nolina,5957,2018/05/13,5957,,5957,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
499,5504,Special Penestraria,5817,2018/05/13,5817,,5817,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
500,5505,Special Dalvenia Alrea,5155,2018/05/13,5155,,5155,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
501,5506,Special Bouquet Mushroom,8049,2018/05/13,8049,,8049,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
502,5507,Special Leccinum,7675,2018/05/13,7675,,7675,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
503,5508,Special Purple Mushroom,8835,2018/05/13,8835,,8835,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
504,5509,Special Pie Mushroom,8639,2018/05/13,8639,,8639,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
505,5515,Rainbow Button Mushroom,1018,2018/05/13,1018,,1018,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
506,5516,Blue Umbrella Mushroom,996,2018/05/13,996,,996,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
507,5517,Volcanic Umbrella Mushroom,975,2018/05/13,975,,975,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
508,5518,Pink Trumpet Mushroom,425,2018/05/13,425,,425,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
509,5519,White Umbrella Mushroom,531,2018/05/13,531,,531,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
510,5520,Green Pendulous Mushroom,554,2018/05/13,554,,554,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
511,5521,White Flower Mushroom,531,2018/05/13,531,,531,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
512,5522,Vedelona,682,2018/05/13,682,,682,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
513,5523,Purple Pink Flower,661,2018/05/13,661,,661,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
514,5524,Yellow Flower,634,2018/05/13,634,,634,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
515,5525,Sky Blue Flower,1076,2018/05/13,1076,,1076,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
516,5526,Violet Flower,1122,2018/05/13,1122,,1122,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
517,5527,Blue Flower,601,2018/05/13,601,,601,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
518,5528,Audria,634,2018/05/13,634,,634,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
519,5529,Saffron,682,2018/05/13,682,,682,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
520,5530,Hazel Tree Fruit,1017,2018/05/13,1017,,1017,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
521,5531,Mimosa Stalk,554,2018/05/13,554,,554,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
522,5600,Weeds,622,2018/05/13,622,,622,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
523,5601,Insectivore Plant Powder,9978,2018/05/13,9978,,9978,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
524,5602,Insectivore Plant Sap,9430,2018/05/13,9430,,9430,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
525,5603,Herbal Poison,5636,2018/05/13,5636,,5636,,,Yes,No,1,Insectivore Plant Sap,5,Amanita Mushroom,,,,,,,,,2,,,,Alchemy,Alchemy,,,
526,5604,Herbal Gunpowder,16297,2018/05/13,16297,,16297,,,Yes,No,1,Insectivore Plant Powder,1,Powder of Darkness,,,,,,,,,2,,,,Alchemy,Alchemy,,,
527,5801,Cotton,800,2018/05/13,800,,800,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
528,5802,Flax,700,2018/05/13,700,,700,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
529,5803,Silkworm Cocoon,851,2018/05/13,851,,851,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
530,5804,Fleece,830,2018/05/13,830,,830,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
531,5851,Cotton Yarn,2117,2018/05/13,2117,,2117,,,Yes,No,5,Cotton,,,,,,,,,,,2.5,,,,6,Processing - Heating,,,
532,5852,Flax Thread,2249,2018/05/13,2249,,2249,,,Yes,No,5,Flax,,,,,,,,,,,2.5,,,,6,Processing - Heating,,,
533,5853,Silk Thread,3402,2018/05/13,3402,,3402,,,Yes,No,5,Silkworm Cocoon,,,,,,,,,,,2.5,,,,6,Processing - Heating,,,
534,5854,Knitting Yarn,2747,2018/05/13,2747,,2747,,,Yes,No,5,Fleece,,,,,,,,,,,2.5,,,,6,Processing - Heating,,,
535,5855,Cotton Fabric,9596,2018/05/13,9596,,9596,,,Yes,No,10,Cotton Yarn,,,,,,,,,,,2.5,,,,6,Processing - Grinding,,,
536,5856,Flax Fabric,10196,2018/05/13,10196,,10196,,,Yes,No,10,Flax Thread,,,,,,,,,,,2.5,,,,6,Processing - Grinding,,,
537,5857,Silk,15422,2018/05/13,15422,,15422,,,Yes,No,10,Silk Thread,,,,,,,,,,,2.5,,,,6,Processing - Grinding,,,
538,5858,Wool,12450,2018/05/13,12450,,12450,,,Yes,No,10,Knitting Yarn,,,,,,,,,,,2.5,,,,6,Processing - Grinding,,,
539,5859,Tough Flax Fabric,19250,2018/05/13,19250,,19250,,,Yes,No,1,[Guild] Hekaru's Spike,10,Flax Fabric,,,,,,,,,2,,,,6,Processing - Shaking,,,
540,5860,Enhanced Flax Fabric,36100,2018/05/13,36100,,36100,,,Yes,No,5,Shining Powder,5,Flax Fabric,,,,,,,,,5,,,,6,Processing - Grinding,,,
541,5951,Trace of Chaos,4410,2018/05/13,4410,,4410,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
542,5952,Trace of Despair,4410,2018/05/13,4410,,4410,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
543,5954,Trace of the Earth,9702,2018/05/13,9702,,9702,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
544,5955,Trace of Ascension,7526,2018/05/13,7526,,7526,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
545,5956,Trace of Savagery,7938,2018/05/13,7938,,7938,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
546,5957,Trace of Origin,8820,2018/05/13,8820,,8820,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
547,5958,Trace of Battle,4786,2018/05/13,4786,,4786,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
548,5959,Trace of Hunting,4410,2018/05/13,4410,,4410,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
549,5960,Trace of Forest,9702,2018/05/13,9702,,9702,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
550,5961,Trace of Violence,4410,2018/05/13,4410,,4410,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
551,5962,Trace of Death,5013,2018/05/13,5013,,5013,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
552,5963,Trace of Memory,9702,2018/05/13,9702,,9702,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,,,
553,6001,Deer Hide,900,2018/05/13,900,,900,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 1,,
554,6002,Sheep Hide,818,2018/05/13,818,,818,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 1,,
555,6003,Fox Hide,721,2018/05/13,721,,721,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 1,,
556,6004,Rhino Hide,2598,2018/05/13,2598,,2598,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 2,,
557,6005,Pig Hide,2699,2018/05/13,2699,,2699,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 2,,
558,6006,Ox Hide,1454,2018/05/13,1454,,1454,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 2,,
559,6007,Dinosaur Hide,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 3,,
560,6008,Lizard Hide,2079,2018/05/13,2079,,2079,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 3,,
561,6009,Worm Hide,1870,2018/05/13,1870,,1870,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 3,,
562,6010,Raccoon Hide,1211,2018/05/13,1211,,1211,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 4,,
563,6011,Monkey Hide,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 4,,
564,6012,Weasel Hide,1038,2018/05/13,1038,,1038,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 4,,
565,6013,Bear Hide,851,2018/05/13,851,,851,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 5,,
566,6014,Wolf Hide,662,2018/05/13,662,,662,,,Yes,No,,,,,,,,,,,,,,,,,,Gathering,Hide 5,,
